# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
1.5             	((1.47437452e+00 -1.97591433e-08 8.09788805e-21) (1.12787247e+00 2.03144124e-08 -5.34200288e-24) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.39513178e-20 -6.94739083e-21 3.01213048e-15) (-6.33744103e-20 4.05154156e-23 1.18924123e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.55            	((1.47165114e+00 -2.23823058e-08 8.05985890e-21) (1.11736878e+00 2.00872184e-08 -8.72246481e-24) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.52007730e-20 -6.94752538e-21 2.60316942e-15) (-6.31274726e-20 4.35279053e-23 1.25438065e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.6             	((1.46920832e+00 -3.07676107e-08 8.02254143e-21) (1.10746707e+00 1.95458194e-08 -1.18895853e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.64193366e-20 -6.94860340e-21 2.80645732e-15) (-6.29067616e-20 4.63497237e-23 1.31868354e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.65            	((1.46700795e+00 -2.42763153e-08 7.98591143e-21) (1.09811807e+00 1.93221266e-08 -1.48567647e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.76070920e-20 -6.95046933e-21 2.63417760e-15) (-6.27072344e-20 4.89925573e-23 1.33133526e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.7             	((1.46501709e+00 -2.27339577e-08 7.94994496e-21) (1.08927767e+00 1.92458714e-08 -1.76371090e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.87641718e-20 -6.95298750e-21 2.57237807e-15) (-6.25265799e-20 5.14675434e-23 1.34549204e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.75            	((1.46320675e+00 -2.17247294e-08 7.91462017e-21) (1.08090626e+00 1.92089029e-08 -2.02427551e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((5.98907574e-20 -6.95603962e-21 2.54679090e-15) (-6.23626262e-20 5.37853067e-23 1.37121739e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.8             	((1.46155155e+00 -2.09987934e-08 7.87991492e-21) (1.07296812e+00 1.91706658e-08 -2.26847017e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.09870367e-20 -6.95952146e-21 2.52597422e-15) (-6.22134516e-20 5.59554106e-23 1.40690137e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.85            	((1.46002935e+00 -1.89717258e-08 7.84580975e-21) (1.06543100e+00 1.91163586e-08 -2.49732609e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.20532222e-20 -6.96334403e-21 2.50808489e-15) (-6.20772807e-20 5.79868816e-23 1.45001555e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.9             	((1.45862073e+00 -1.83938543e-08 7.81228361e-21) (1.05826572e+00 1.90512590e-08 -2.71175303e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.30895867e-20 -6.96742780e-21 2.49626708e-15) (-6.19526009e-20 5.98876592e-23 1.49776028e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
1.95            	((1.45730873e+00 -1.63861502e-08 7.77931802e-21) (1.05144575e+00 1.90021156e-08 -2.91262050e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.40964322e-20 -6.97170489e-21 2.49561656e-15) (-6.18385694e-20 6.16653926e-23 1.54931523e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2               	((1.45607836e+00 -1.58800227e-08 7.74689369e-21) (1.04494696e+00 1.89252570e-08 -3.10072244e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.50740815e-20 -6.97611484e-21 2.47653460e-15) (-6.17341465e-20 6.33270990e-23 1.60284187e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
