# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
3.75            	4.35472173e-09	2.34263226e+00	-5.97763603e-08	-2.55334584e-08	-3.42429019e-08
3.8             	4.41593164e-09	2.33951274e+00	-5.51013708e-08	-2.31347538e-08	-3.19666171e-08
3.85            	4.46624169e-09	2.33643077e+00	-5.11955468e-08	-2.11315317e-08	-3.00640151e-08
3.9             	4.50676337e-09	2.33338521e+00	-4.80121881e-08	-1.94993307e-08	-2.85128574e-08
3.95            	4.53878256e-09	2.33037500e+00	-4.55124015e-08	-1.82174182e-08	-2.72949833e-08
4               	4.56354189e-09	2.32739918e+00	-4.36559677e-08	-1.72644420e-08	-2.63915257e-08
4.05            	4.58216164e-09	2.32445682e+00	-4.24025281e-08	-1.66191024e-08	-2.57834257e-08
4.1             	4.59562591e-09	2.32154711e+00	-4.17044518e-08	-1.62566000e-08	-2.54478518e-08
4.15            	4.60479046e-09	2.31866926e+00	-4.15083152e-08	-1.61493671e-08	-2.53589481e-08
4.2             	4.54955248e-09	2.31582288e+00	-5.42330541e-07	-2.66615718e-07	-2.75714823e-07
4.25            	4.80237636e-09	2.31300634e+00	-8.47202491e-08	-3.75577482e-08	-4.71625009e-08
4.3             	4.97831061e-09	2.31022007e+00	-2.09695644e-07	-9.98695112e-08	-1.09826132e-07
4.35            	5.16339850e-09	2.30746297e+00	-1.97583026e-07	-9.36281145e-08	-1.03954912e-07
4.4             	5.33330642e-09	2.30473460e+00	-1.92840326e-07	-9.10868566e-08	-1.01753469e-07
4.45            	5.48310915e-09	2.30203443e+00	-1.87231564e-07	-8.81326727e-08	-9.90988909e-08
4.5             	5.61280995e-09	2.29936199e+00	-1.81155749e-07	-8.49650645e-08	-9.61906844e-08
4.55            	5.72387569e-09	2.29671682e+00	-1.74576364e-07	-8.15643062e-08	-9.30120575e-08
4.6             	5.81788812e-09	2.29409849e+00	-1.67437496e-07	-7.79008599e-08	-8.95366362e-08
4.65            	5.89620905e-09	2.29150658e+00	-1.59662478e-07	-7.39350301e-08	-8.57274482e-08
4.7             	5.95993200e-09	2.28894071e+00	-1.51181161e-07	-6.96306485e-08	-8.15505125e-08
4.75            	6.00991886e-09	2.28640050e+00	-1.41943130e-07	-6.49616461e-08	-7.69814838e-08
4.8             	6.04680619e-09	2.28388559e+00	-1.31952068e-07	-5.99292280e-08	-7.20228404e-08
4.85            	6.07087387e-09	2.28139569e+00	-1.21034927e-07	-5.44465898e-08	-6.65883376e-08
4.9             	6.08284807e-09	2.27893040e+00	-1.09737673e-07	-4.87859882e-08	-6.09516844e-08
4.95            	6.08408801e-09	2.27648948e+00	-9.74078926e-08	-4.26198583e-08	-5.47880343e-08
5               	6.07487414e-09	2.27407260e+00	-8.45373376e-08	-3.61937947e-08	-4.83435430e-08
5.05            	6.05410422e-09	2.27167936e+00	-7.13539500e-08	-2.96228708e-08	-4.17310792e-08
5.1             	6.02272577e-09	2.26930959e+00	-5.73891807e-08	-2.26718646e-08	-3.47173161e-08
5.15            	5.97361325e-09	2.26696299e+00	-4.42641198e-08	-1.61584466e-08	-2.81056731e-08
5.2             	5.91941018e-09	2.26463937e+00	-2.87858175e-08	-8.47349855e-09	-2.03123189e-08
5.25            	5.85718836e-09	2.26233828e+00	-1.61208801e-08	-2.20325171e-09	-1.39176284e-08
5.3             	5.78787324e-09	2.26005961e+00	-9.94534127e-09	8.15202609e-10	-1.07605439e-08
5.35            	5.71131221e-09	2.25780304e+00	1.44427932e-09	6.43345187e-09	-4.98917254e-09
5.4             	5.62885011e-09	2.25556837e+00	1.30272934e-08	1.21424968e-08	8.84796611e-10
5.45            	5.54087682e-09	2.25335536e+00	2.38259865e-08	1.74538701e-08	6.37211641e-09
5.5             	5.44837551e-09	2.25116378e+00	3.45862250e-08	2.27414880e-08	1.18447370e-08
5.55            	5.35261506e-09	2.24899338e+00	4.55453990e-08	2.81253146e-08	1.74200845e-08
5.6             	5.25487382e-09	2.24684393e+00	5.66375808e-08	3.35736642e-08	2.30639166e-08
5.65            	5.12420335e-09	2.24471527e+00	-7.38463455e-08	-3.17989694e-08	-4.20473761e-08
5.7             	5.06476127e-09	2.24260702e+00	-6.00804239e-08	-2.49754507e-08	-3.51049732e-08
5.75            	5.03273406e-09	2.24051904e+00	-4.66857618e-08	-1.83101468e-08	-2.83756150e-08
5.8             	5.00636403e-09	2.23845110e+00	-3.22913752e-08	-1.11393236e-08	-2.11520516e-08
5.85            	4.97527636e-09	2.23640298e+00	-1.72030821e-08	-3.62626468e-09	-1.35768174e-08
5.9             	4.93547276e-09	2.23437447e+00	-1.65296905e-09	4.10898823e-09	-5.76195728e-09
5.95            	4.88582830e-09	2.23236538e+00	1.41550158e-08	1.19633362e-08	2.19167961e-09
6               	4.82554161e-09	2.23037552e+00	2.61782562e-08	1.79146697e-08	8.26358650e-09
6.05            	4.75736733e-09	2.22840464e+00	4.19763562e-08	2.57455454e-08	1.62308107e-08
6.1             	4.68076442e-09	2.22645256e+00	5.74286822e-08	3.33951055e-08	2.40335767e-08
6.15            	4.59582667e-09	2.22451910e+00	7.25086837e-08	4.08501685e-08	3.16585152e-08
6.2             	4.50306676e-09	2.22260405e+00	8.72050844e-08	4.81056090e-08	3.90994754e-08
6.25            	4.40325655e-09	2.22070722e+00	1.01783380e-07	5.52949464e-08	4.64884333e-08
6.3             	4.29723056e-09	2.21882842e+00	1.16797036e-07	6.26957485e-08	5.41012874e-08
6.35            	4.18571124e-09	2.21696747e+00	1.33014101e-07	7.06927616e-08	6.23213391e-08
6.4             	4.06916192e-09	2.21512416e+00	1.51207293e-07	7.96728082e-08	7.15344844e-08
6.45            	3.94770045e-09	2.21329833e+00	1.71953377e-07	8.99243887e-08	8.20289878e-08
6.5             	3.82110614e-09	2.21148978e+00	1.95491384e-07	1.01566798e-07	9.39245857e-08
6.55            	3.68889748e-09	2.20969831e+00	2.21633222e-07	1.14505509e-07	1.07127714e-07
