# Region type : patch outlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	max(U)	max(p)
           6.45	(8.45938362e-01 2.35087622e-08 0.00000000e+00)	0.00000000e+00
            6.5	(8.50797082e-01 2.33738080e-08 0.00000000e+00)	0.00000000e+00
           6.55	(8.55630547e-01 2.32347630e-08 0.00000000e+00)	0.00000000e+00
            6.6	(8.60438876e-01 2.30916849e-08 0.00000000e+00)	0.00000000e+00
           6.65	(8.65222185e-01 2.29448345e-08 0.00000000e+00)	0.00000000e+00
            6.7	(8.69980593e-01 2.27943428e-08 0.00000000e+00)	0.00000000e+00
           6.75	(8.74714218e-01 2.26401235e-08 0.00000000e+00)	0.00000000e+00
            6.8	(8.79423177e-01 2.24825026e-08 0.00000000e+00)	0.00000000e+00
           6.85	(8.84107589e-01 2.23215902e-08 0.00000000e+00)	0.00000000e+00
            6.9	(8.88767571e-01 2.21573973e-08 0.00000000e+00)	0.00000000e+00
           6.95	(8.93403242e-01 2.19900224e-08 0.00000000e+00)	0.00000000e+00
              7	(8.98014719e-01 2.18196893e-08 0.00000000e+00)	0.00000000e+00
           7.05	(9.02602121e-01 2.16463287e-08 0.00000000e+00)	0.00000000e+00
            7.1	(9.07165564e-01 2.14701589e-08 0.00000000e+00)	0.00000000e+00
           7.15	(9.11705167e-01 2.12912282e-08 0.00000000e+00)	0.00000000e+00
            7.2	(9.16221047e-01 2.11095547e-08 0.00000000e+00)	0.00000000e+00
           7.25	(9.20713322e-01 2.09252506e-08 0.00000000e+00)	0.00000000e+00
            7.3	(9.25182107e-01 2.07384277e-08 0.00000000e+00)	0.00000000e+00
           7.35	(9.29627521e-01 2.05491067e-08 0.00000000e+00)	0.00000000e+00
            7.4	(9.34049680e-01 2.03573555e-08 0.00000000e+00)	0.00000000e+00
           7.45	(9.38448700e-01 2.01632754e-08 0.00000000e+00)	0.00000000e+00
            7.5	(9.42824697e-01 1.99668972e-08 0.00000000e+00)	0.00000000e+00
           7.55	(9.47177788e-01 1.97683029e-08 0.00000000e+00)	0.00000000e+00
            7.6	(9.51508088e-01 1.95675791e-08 0.00000000e+00)	0.00000000e+00
           7.65	(9.55815712e-01 1.93647158e-08 0.00000000e+00)	0.00000000e+00
            7.7	(9.60100775e-01 1.91598362e-08 0.00000000e+00)	0.00000000e+00
           7.75	(9.64363392e-01 1.89529962e-08 0.00000000e+00)	0.00000000e+00
            7.8	(9.68603678e-01 1.87442422e-08 0.00000000e+00)	0.00000000e+00
           7.85	(9.72821746e-01 1.85336752e-08 0.00000000e+00)	0.00000000e+00
            7.9	(9.77017710e-01 1.83213583e-08 0.00000000e+00)	0.00000000e+00
           7.95	(9.81191683e-01 1.81073674e-08 0.00000000e+00)	0.00000000e+00
